2: -	100xx1x0
3: D	xxx100x1
4: C	xxx110x1
5: A	1x0010xx
6: A	100110x0
7: A	1100xxx0
8: C	xxx1x1xx
9: -	10xxxxx0
10: C	xxxx00xx
11: A	1000101x
12: A	1100101x
13: A	1110xxx0
14: -	100xxx1x
15: A	1001101x
16: A	101xxx1x
17: B	1100101x
18: B	111010x0
19: A	1011101x
20: B	1x0010x0
21: A	101xx1x0
22: A	1010xxx0
23: -	xxxxxxxx
24: A	001000x0
25: F	000000x0
26: A	0x0010x0
27: E	011000x0
28: D	0x1010x0
29: F	010000x0
30: -	011xxx1x
31: C	xxxxxxxx
32: A	010xxxx1
33: -	01x011x0
34: C	xxx011xx
35: A	000xxxx1
36: C	xxxx0xxx
37: A	xxxxxxxx
38: C	0xx0x0x0
39: D	0xx0xxx0
40: E	00x000x0
41: E	010000x0
42: D	xxx000x1
43: E	000100x1
44: C	000100x1
45: D	00011xxx
46: -	0x1010x0
47: -	111xxx1x
48: E	xxx000x1
49: D	xxx100x1
50: -	01x000x0
51: C	001000x0
52: A	11x0xxx0
53: A	110xxxx1
54: A	111xxxx1
55: A	x11xxxx1
56: -	001xxx1x
57: D	01x011x0
58: -	00xxxx1x
59: F	001000x0
60: C	0xx0x0x0
61: A	100110x0
62: B	0xxxxxx1
63: B	x11xxxx1
64: B	0xx0101x
65: A	1000101x
66: A	011010x0
67: A	101xxxx1
68: A	xxxxxxx1
69: A	101010x0
70: A	0xx0101x
71: A	1010101x
72: A	0010x1x0
73: A	x01xxxxx
74: E	xxx11xxx
75: F	xxx100x1
76: A	xxx100x0
77: -	010010x0
78: A	01x0101x
79: -	01xxxx1x
80: C	000000x0
81: D	001000x0
82: -	100xxxx1
83: C	xxx100x0
84: C	xxxx01xx
85: -	xxxxxxxx
86: -	xxx1xxxx
87: C	xxx100x1
88: C	xxx11xxx
89: F	011000x0
90: E	xxxxxxxx
91: D	xxxxxxxx
92: A	0x0000x0
93: A	01x011x0
94: F	xxx000xx
95: D	xxxx1xxx
96: E	xxxx00xx
97: D	xxxx1xxx
98: D	xxxx0xx0
99: -	0x000xx0
100: -	00100xx0
101: -	01x011x0
102: -	xxxxxxxx
103: -	0xx010x0
104: -	x00xxxxx
105: E	000000x0
106: C	000010x0
107: C	0x0010x0
108: E	01x011x0
109: -	xxxxxxxx
110: F	01x000x0
111: F	001000x0
112: C	010011x0
113: D	0x1010x0
114: -	x1xxxx1x
115: -	00xxxx1x
116: A	01x110x0
117: -	xxxxxxxx
118: -	0010x1x0
119: A	00x110x0
120: D	xxx101xx
121: -	x11xxxx1
122: A	0010x1x0
123: A	001010x0
124: E	010000x0
125: -	110xxxx1
126: -	11x011x0
127: -	00x0101x
128: -	11x00xx0
129: -	xxxxxxxx
130: A	11x110x0
131: -	x0xxxxxx
132: D	xxx011xx
133: C	xxx001xx
134: F	xxxx00x1
135: E	xxx11xxx
136: -	0xxxxxxx
137: -	101110x0
138: E	xxxx10xx
